Timestamp,still01-bf-pid.DV01-LIT4003-level => (Aggregate=TimeAverage2),still01-bf-pid.CV01-plp4000a.cmdspd-hz => (Aggregate=TimeAverage2),still01-bf-pid.SP-pmp4000a.sp-% => (Aggregate=TimeAverage2),still01-bf-pid.PV01-fit4008.volumeflow => (Aggregate=TimeAverage2)
7/14/2025 4:27:14 PM,90.12195,41.970192,70.55,82.641743396
7/14/2025 4:27:19 PM,90.12195,42.09504,70.55,82.99774
7/14/2025 4:27:24 PM,90.12195,42.328466,70.55,83.361395116
7/14/2025 4:27:29 PM,90.12195,42.248192,70.55,83.1042
7/14/2025 4:27:34 PM,90.12195,42.127612,70.55,82.394954232
7/14/2025 4:27:39 PM,90.12195,42.222256,70.55,81.89406
7/14/2025 4:27:44 PM,90.12195,42.200224,70.55,83.2512789
7/14/2025 4:27:49 PM,89.716851072,42.121678,70.55,81.868835
7/14/2025 4:27:54 PM,89.63199,42.204412,70.55,82.267862965
7/14/2025 4:27:59 PM,89.63199,42.231302,70.55,82.37077
7/14/2025 4:28:04 PM,89.63199,42.265168,70.55,83.0771779336
7/14/2025 4:28:09 PM,89.63199,42.400198,70.55,82.186554
7/14/2025 4:28:14 PM,89.63199,42.360588,70.55,83.792649942
7/14/2025 4:28:19 PM,89.63199,42.384006,70.55,83.538925
7/14/2025 4:28:24 PM,89.63199,42.45726,70.55,82.817346743
7/14/2025 4:28:29 PM,89.63199,42.372794,70.55,84.24362
7/14/2025 4:28:34 PM,89.63199,42.30347,70.55,83.032644896
7/14/2025 4:28:39 PM,89.63199,42.37989,70.55,81.823784
7/14/2025 4:28:44 PM,89.63199,42.234764,70.55,82.686155166
7/14/2025 4:28:49 PM,89.63199,42.323568,70.55,83.19923
7/14/2025 4:28:54 PM,89.63199,42.277356,70.55,82.867065678
7/14/2025 4:28:59 PM,89.5324608864,42.241464,70.55,81.58036
7/14/2025 4:29:04 PM,89.393654,42.242334,70.55,82.880574449
7/14/2025 4:29:09 PM,89.393654,42.269638,70.55,82.95094906
7/14/2025 4:29:14 PM,89.393654,42.289244,70.55,82.647407632
7/14/2025 4:29:19 PM,89.393654,42.345398,70.55,82.635296836
7/14/2025 4:29:24 PM,89.393654,42.19415,70.55,83.2681705216
7/14/2025 4:29:29 PM,89.393654,42.25789,70.55,83.60898816
7/14/2025 4:29:34 PM,89.393654,42.195436,70.55,83.32943104
7/14/2025 4:29:39 PM,89.392158632,42.318386,70.55,82.809995906
7/14/2025 4:29:44 PM,89.26904,42.25794,70.55,82.735637712
7/14/2025 4:29:49 PM,89.26904,42.21373,70.55,82.674828836
7/14/2025 4:29:54 PM,89.26904,42.12092,70.55,83.1285502688
7/14/2025 4:29:59 PM,89.26904,42.099728,70.55,82.6337051532
7/14/2025 4:30:04 PM,89.26904,42.174996,70.55,81.973824202
7/14/2025 4:30:09 PM,89.26904,42.15778,70.55,82.542274496
7/14/2025 4:30:14 PM,89.26904,42.092706,70.55,83.590194504
7/14/2025 4:30:19 PM,89.26904,42.257914,70.55,83.2383117688
7/14/2025 4:30:24 PM,89.26904,42.23632,70.55,83.8269441376
7/14/2025 4:30:29 PM,89.26904,42.331682,70.55,83.097208
7/14/2025 4:30:34 PM,89.26904,42.292396,70.55,82.471953048
7/14/2025 4:30:39 PM,89.26904,42.152144,70.55,82.977293492
7/14/2025 4:30:44 PM,89.26904,42.190864,70.55,83.57514944
7/14/2025 4:30:49 PM,89.26904,42.228522,70.55,83.084311504
7/14/2025 4:30:54 PM,89.26904,42.260012,70.55,83.42847068
7/14/2025 4:30:59 PM,89.26904,42.366756,70.55,82.838578588
7/14/2025 4:31:04 PM,89.26904,42.307416,70.55,83.398080542
7/14/2025 4:31:09 PM,89.26904,42.179682,70.55,83.7315898996
7/14/2025 4:31:14 PM,89.26904,42.350622,70.55,83.14451242
7/14/2025 4:31:19 PM,89.26904,42.351918,70.55,83.3484212226
7/14/2025 4:31:24 PM,89.26904,42.388184,70.55,82.818914603
7/14/2025 4:31:29 PM,89.26904,42.304422,70.55,83.051875136
7/14/2025 4:31:34 PM,89.26904,42.37207,70.55,83.332555866
7/14/2025 4:31:39 PM,89.26904,42.436826,70.55,83.579196696
7/14/2025 4:31:44 PM,89.26904,42.504728,70.55,82.916784176
7/14/2025 4:31:49 PM,89.26904,42.499764,70.55,83.1029019
7/14/2025 4:31:54 PM,89.26904,42.608776,70.55,83.4772410304
7/14/2025 4:31:59 PM,88.888843172,42.55528,70.55,83.1539308628
7/14/2025 4:32:04 PM,88.7879,42.614794,70.55,82.486892042
7/14/2025 4:32:09 PM,88.7879,42.509426,70.55,82.9117620784
7/14/2025 4:32:14 PM,88.7879,42.368028,70.55,83.692448728
7/14/2025 4:32:19 PM,88.7879,42.476262,70.55,83.4903849208
