Timestamp,doubler01_steam_pid.PV01-tit4101.temp-F => (Aggregate=TimeAverage2),doubler01_steam-pid.CV01-FCV4108.cmdpos-% => (Aggregate=TimeAverage2),doubler01--steam-pid.SP.temp-F => (Aggregate=TimeAverage2),doubler01-steam-pid.lit4104.level-% => (Aggregate=TimeAverage2)
7/14/2025 11:33:13 PM,189.44868,17,189.2,40.047798033
7/14/2025 11:33:18 PM,189.44868,17,189.2,40.066917
7/14/2025 11:33:23 PM,189.44868,17,189.2,40.066917
7/14/2025 11:33:28 PM,189.44868,17,189.2,39.9489810852
7/14/2025 11:33:33 PM,189.44868,17,189.2,39.903435
7/14/2025 11:33:38 PM,189.44868,17,189.2,39.9541909122
7/14/2025 11:33:43 PM,189.44868,17,189.2,40.1755032032
7/14/2025 11:33:48 PM,189.44868,17.5996,189.2,40.129271131
7/14/2025 11:33:53 PM,189.285816016,18,189.2,40.122230506
7/14/2025 11:33:58 PM,189.05108936,18,189.2,40.108173514
7/14/2025 11:34:03 PM,189.04541,18,189.2,40.02219718
7/14/2025 11:34:08 PM,189.04541,18,189.2,39.9756518448
7/14/2025 11:34:13 PM,189.04541,18,189.2,39.9478470578
7/14/2025 11:34:18 PM,189.04541,18,189.2,40.115451217
7/14/2025 11:34:23 PM,189.04541,18,189.2,40.1167229544
7/14/2025 11:34:28 PM,189.04541,18.5854,189.2,40.0380847938
7/14/2025 11:34:33 PM,189.04541,19,189.2,40.0433518772
7/14/2025 11:34:38 PM,189.04541,19,189.2,39.9295611772
7/14/2025 11:34:43 PM,189.04541,19,189.2,39.925262616
7/14/2025 11:34:48 PM,189.04541,19,189.2,39.9630400704
7/14/2025 11:34:53 PM,189.04514941,19.3808,189.2,40.0319938648
7/14/2025 11:34:58 PM,188.78482,20,189.2,40.0539869412
7/14/2025 11:35:03 PM,188.78482,20,189.2,40.0237314712
7/14/2025 11:35:08 PM,188.78482,20,189.2,40.0303074672
7/14/2025 11:35:13 PM,188.78482,20,189.2,39.9553715636
7/14/2025 11:35:18 PM,188.73065422,20.9752,189.2,39.9252903602
7/14/2025 11:35:23 PM,188.7306,21,189.2,40.0101429814
7/14/2025 11:35:28 PM,188.7306,21,189.2,39.9121371958
7/14/2025 11:35:33 PM,188.7306,21,189.2,40.0621721808
7/14/2025 11:35:38 PM,188.72639866,21,189.2,40.0494118146
7/14/2025 11:35:43 PM,188.72345,21,189.2,40.2088095632
7/14/2025 11:35:48 PM,188.72345,21,189.2,40.2562032032
7/14/2025 11:35:53 PM,188.72345,21,189.2,39.9785653122
7/14/2025 11:35:58 PM,188.72345,22.9256,189.2,40.0119118056
7/14/2025 11:36:03 PM,188.755106432,23,189.2,39.9386082444
7/14/2025 11:36:08 PM,188.76389,23,189.2,39.7079004144
7/14/2025 11:36:13 PM,188.76389,23,189.2,39.8042488326
7/14/2025 11:36:18 PM,188.79456494,23.1596,189.2,39.9668591316
7/14/2025 11:36:23 PM,188.814928224,24,189.2,40.009958665
7/14/2025 11:36:28 PM,188.81049,24,189.2,40.0098524174
7/14/2025 11:36:33 PM,188.81049,24,189.2,39.981425811
7/14/2025 11:36:38 PM,188.81049,24,189.2,39.9971048432
7/14/2025 11:36:43 PM,188.81049,24,189.2,39.93584823
7/14/2025 11:36:48 PM,188.81049,24.1544,189.2,40.00715329
7/14/2025 11:36:53 PM,188.81049,25,189.2,40.1746920584
7/14/2025 11:36:58 PM,188.81049,25,189.2,39.9440315956
7/14/2025 11:37:03 PM,188.81049,25,189.2,39.7719588074
7/14/2025 11:37:08 PM,188.81049,25,189.2,39.8513435938
7/14/2025 11:37:13 PM,188.81049,25,189.2,39.8277683644
7/14/2025 11:37:18 PM,188.851800808,25,189.2,39.903603876
7/14/2025 11:37:23 PM,189.06998,25,189.2,39.9445667934
7/14/2025 11:37:28 PM,189.06998,25,189.2,39.8491017304
7/14/2025 11:37:33 PM,189.06998,25,189.2,39.8623414792
7/14/2025 11:37:38 PM,189.086402912,25,189.2,40.0923322468
7/14/2025 11:37:43 PM,189.1769,25,189.2,40.102421259
7/14/2025 11:37:48 PM,189.182240096,25,189.2,39.8313282132
7/14/2025 11:37:53 PM,189.21194,25,189.2,39.75850493
7/14/2025 11:37:58 PM,189.21194,25,189.2,39.9933082744
7/14/2025 11:38:03 PM,189.21194,25,189.2,39.9121610084
7/14/2025 11:38:08 PM,189.21194,25,189.2,39.9030643158
7/14/2025 11:38:13 PM,189.21194,25,189.2,39.8987083932
7/14/2025 11:38:18 PM,189.228852008,25,189.2,39.760624147
7/14/2025 11:38:23 PM,189.33585968,25,189.2,39.7933084
7/14/2025 11:38:28 PM,189.35342,25,189.2,39.750490611
7/14/2025 11:38:33 PM,189.35342,25,189.2,39.7410529492
7/14/2025 11:38:38 PM,189.35342,25,189.2,39.765855438
7/14/2025 11:38:43 PM,189.35342,25,189.2,39.7186045866
7/14/2025 11:38:48 PM,189.35342,25,189.2,39.7833571324
7/14/2025 11:38:53 PM,189.35342,25,189.2,39.9294396368
7/14/2025 11:38:58 PM,189.481881704,25,189.2,39.9536434048
7/14/2025 11:39:03 PM,189.48956,24.6792,189.2,39.728546428
7/14/2025 11:39:08 PM,189.519217328,24,189.2,39.7123122496
7/14/2025 11:39:13 PM,189.52103,24,189.2,39.6739817138
7/14/2025 11:39:18 PM,189.52103,24,189.2,39.6950248568
7/14/2025 11:39:23 PM,189.52103,24,189.2,39.777168197
7/14/2025 11:39:28 PM,189.52103,24,189.2,39.8930705568
7/14/2025 11:39:33 PM,189.52103,24,189.2,39.923715275
7/14/2025 11:39:38 PM,189.54332374,23.8824,189.2,39.9304997296
7/14/2025 11:39:43 PM,189.56233,23,189.2,39.9952789028
7/14/2025 11:39:48 PM,189.56233,23,189.2,39.839863116
7/14/2025 11:39:53 PM,189.56233,23,189.2,39.9706038218
7/14/2025 11:39:58 PM,189.56233,23,189.2,39.9927494448
7/14/2025 11:40:03 PM,189.56233,23,189.2,39.8687551384
7/14/2025 11:40:08 PM,189.56233,23,189.2,39.7854953016
7/14/2025 11:40:13 PM,189.503827972,23,189.2,39.8482772736
7/14/2025 11:40:18 PM,189.479501536,23,189.2,39.8941321708
