Timestamp,still01-bf-pid.DV01-lit4003.level-% => (Aggregate=TimeAverage2),still01-bf-pid.CV01-pmp4000a.cmdspd-hz => (Aggregate=TimeAverage2),still01-bf-pid.PV01-fit4008.volflow-gpm => (Aggregate=TimeAverage2),still01-bf-pid.SP.Spd-Hz => (Aggregate=TimeAverage2)
7/15/2025 12:44:11 AM,66.12263,45.16456,82.628136,82.348598489
7/15/2025 12:44:13 AM,66.12263,45.23572,83.40183307,83.845511
7/15/2025 12:44:15 AM,66.12263,45.1709,83.43829,82.791375
7/15/2025 12:44:17 AM,66.12263,45.257375,83.47161868,83.12285763
7/15/2025 12:44:19 AM,66.12263,45.20848,83.47436,82.77318292
7/15/2025 12:44:21 AM,66.12263,45.29,83.47436,82.75292272
7/15/2025 12:44:23 AM,66.11838464,45.216575,83.7319173875,83.42687194
7/15/2025 12:44:25 AM,66.11332,45.14,83.753555,83.3903333375
7/15/2025 12:44:27 AM,66.082695145,45.1156,82.69008793,82.81145595
7/15/2025 12:44:29 AM,66.04579,45.162975,82.60012,82.644111414
7/15/2025 12:44:31 AM,66.04579,45.147565,82.60012,83.03455422
7/15/2025 12:44:33 AM,65.98583092,45.05,81.72547393,82.49096319
7/15/2025 12:44:35 AM,65.91343,45.05,81.65045,83.09299833
7/15/2025 12:44:37 AM,65.91343,45.083915,81.9555401,82.6161906
7/15/2025 12:44:39 AM,65.86933651,45.08128,81.98225,83.279808805
7/15/2025 12:44:41 AM,65.81577,45.16597,81.98225,82.863733096
7/15/2025 12:44:43 AM,65.81577,45.14528,83.077713805,83.53232132
7/15/2025 12:44:45 AM,65.81577,45.06245,83.176216,82.870967074
7/15/2025 12:44:47 AM,65.84650605,45.20335,82.800060766,82.85526202
7/15/2025 12:44:49 AM,65.88523,45.22132,82.766014,83.282653075
7/15/2025 12:44:51 AM,65.88523,45.18,82.766014,83.1282446
7/15/2025 12:44:53 AM,65.88523,45.23796,82.897497152,82.8061311305
7/15/2025 12:44:55 AM,65.917435225,45.275825,82.90979,83.163285584
7/15/2025 12:44:57 AM,65.95918,45.19216,83.073137766,83.3772962
7/15/2025 12:44:59 AM,65.95918,45.16367,83.089096,82.80007355
7/15/2025 12:45:01 AM,65.95918,45.2,83.089096,82.51493505
7/15/2025 12:45:03 AM,65.95918,45.28658,82.895418082,82.575500975
7/15/2025 12:45:05 AM,65.95918,45.2456,82.87638,83.6179814
7/15/2025 12:45:07 AM,65.95918,45.07132,83.13332703,83.1617742
7/15/2025 12:45:09 AM,65.95635472,45.10685,83.15905,83.026437455
7/15/2025 12:45:11 AM,65.95264,45.17049,83.15905,83.0733086675
7/15/2025 12:45:13 AM,65.95264,45.1124,83.87049173,83.42418836
7/15/2025 12:45:15 AM,65.95264,45.16017,83.94344,82.40400617
7/15/2025 12:45:17 AM,65.92242038,45.169935,84.07709436,83.158794965
7/15/2025 12:45:19 AM,65.88228,45.0838,84.09088,83.13928136
7/15/2025 12:45:21 AM,65.88228,45.0624,82.86758572,82.847472425
7/15/2025 12:45:23 AM,65.88228,45.086,82.73992,82.514890175
7/15/2025 12:45:25 AM,65.824264911,45.051625,82.73992,83.16557674
7/15/2025 12:45:27 AM,65.746254,44.92,82.760451875,83.107932736
7/15/2025 12:45:29 AM,65.746254,44.991175,82.76267,82.427341907
7/15/2025 12:45:31 AM,65.746254,44.96572,82.53664233,82.976823795
7/15/2025 12:45:33 AM,65.746254,44.98717,82.512085,82.78191325
7/15/2025 12:45:35 AM,65.746254,45.0366,82.512085,83.121212715
7/15/2025 12:45:37 AM,65.746254,45.1062,82.97610405,82.61721469
7/15/2025 12:45:39 AM,65.746254,45.2683,83.02881,82.59839691
7/15/2025 12:45:41 AM,65.770417482,45.21,83.22763005,82.80138186
7/15/2025 12:45:43 AM,65.8042,45.27559,83.25046,82.687922815
7/15/2025 12:45:45 AM,65.8042,45.251195,83.25046,83.28312192
7/15/2025 12:45:47 AM,65.8042,45.2341,82.12564613,82.566027
7/15/2025 12:45:49 AM,65.8042,45.31192,81.99087,82.95277322
7/15/2025 12:45:51 AM,65.8042,45.186,83.0722037,83.42616861
7/15/2025 12:45:53 AM,65.8042,45.224615,83.20177,82.58396115
7/15/2025 12:45:55 AM,65.8042,45.2034,83.20177,83.935779198
7/15/2025 12:45:57 AM,65.79615315,45.05538,82.023216403,82.846460965
7/15/2025 12:45:59 AM,65.78481,45.10204,81.878296,83.07345734
7/15/2025 12:46:01 AM,65.78481,45.139825,82.665955717,82.64901872
7/15/2025 12:46:03 AM,65.78481,45.224655,82.76281,83.3193896
7/15/2025 12:46:05 AM,65.78481,45.169485,82.76281,83.208473773
7/15/2025 12:46:07 AM,65.78481,45.15574,83.363621191,83.027375146
7/15/2025 12:46:09 AM,65.78481,45.183,83.440544,83.7472098625
7/15/2025 12:46:11 AM,65.74537587,45.172445,82.303558806,83.0707252
7/15/2025 12:46:13 AM,65.67923,45.223875,82.157265,83.0905116425
7/15/2025 12:46:15 AM,65.67923,45.272375,82.157265,82.671468485
7/15/2025 12:46:17 AM,65.67923,45.31462,82.3232313585,82.59358508
7/15/2025 12:46:19 AM,65.67923,45.16343,82.345116,84.043324165
7/15/2025 12:46:21 AM,65.67923,45.13081,81.857758905,82.6473832975
7/15/2025 12:46:23 AM,65.67923,45.2189,81.79287,83.09615319
7/15/2025 12:46:25 AM,65.67923,45.21968,81.79287,82.843359722
