Timestamp,still01-bf-pid.DV01-lit4003.level-% => (Aggregate=TimeAverage2),still01-bf-pid.CV01-pmp4000a.cmdspd-hz => (Aggregate=TimeAverage2),still01-bf-pid.PV01-fit4008.volflow-gpm => (Aggregate=TimeAverage2),still01-bf-pid.SP.Spd-Hz => (Aggregate=TimeAverage2)
7/15/2025 12:11:24 AM,73.015594,44.386362,82.8968928616,82.7438304584
7/15/2025 12:11:29 AM,73.015594,44.404528,82.6094702224,82.858377172
7/15/2025 12:11:34 AM,73.015594,44.478904,82.3465527,82.9205518
7/15/2025 12:11:39 AM,73.015594,44.362902,82.481239212,83.204826414
7/15/2025 12:11:44 AM,72.9717380256,44.31214,83.140143048,82.75371997
7/15/2025 12:11:49 AM,72.954666,44.395054,83.315194452,83.067527518
7/15/2025 12:11:54 AM,72.954666,44.430784,83.24633048,82.690803172
7/15/2025 12:11:59 AM,72.954666,44.441264,83.1158929968,83.1644228124
7/15/2025 12:12:04 AM,72.954666,44.308612,82.8045518756,83.2494267328
7/15/2025 12:12:09 AM,72.9383413584,44.334498,83.0398834,83.1661844344
7/15/2025 12:12:14 AM,72.809944,44.276392,83.361864682,82.8630392344
7/15/2025 12:12:19 AM,72.809944,44.30396,83.3803899,83.1632480636
7/15/2025 12:12:24 AM,72.809944,44.32576,83.665701069,83.023101426
7/15/2025 12:12:29 AM,72.809944,44.310342,83.6737834784,83.3549936792
7/15/2025 12:12:34 AM,72.809944,44.252562,82.9374785,82.901792671
7/15/2025 12:12:39 AM,72.7700522232,44.243902,82.6167168,83.0973092928
7/15/2025 12:12:44 AM,72.76602,44.230368,82.566392448,83.0673748248
7/15/2025 12:12:49 AM,72.76602,44.212164,82.997297475,82.6633374186
7/15/2025 12:12:54 AM,72.76602,44.29742,83.103694056,83.280433731
7/15/2025 12:12:59 AM,72.753154464,44.256842,83.133462975,83.1984678436
7/15/2025 12:13:04 AM,72.64038,44.27451,83.464653166,82.6463946446
7/15/2025 12:13:09 AM,72.64038,44.341542,83.297566136,83.116266566
7/15/2025 12:13:14 AM,72.64038,44.360944,83.0771386,82.5142592904
7/15/2025 12:13:19 AM,72.64038,44.377426,83.254181044,82.7900703936
7/15/2025 12:13:24 AM,72.64038,44.410184,83.135830288,83.128924998
7/15/2025 12:13:29 AM,72.64038,44.417958,82.899823842,82.880934894
7/15/2025 12:13:34 AM,72.597150632,44.420644,82.693155128,82.949147542
7/15/2025 12:13:39 AM,72.5785,44.459668,82.57957244,82.405079272
7/15/2025 12:13:44 AM,72.5785,44.517164,82.303357316,82.9308624096
7/15/2025 12:13:49 AM,72.5785,44.571998,82.59185017,83.075181992
7/15/2025 12:13:54 AM,72.5785,44.477332,83.194848062,82.83299815
7/15/2025 12:13:59 AM,72.5650858,44.469262,83.323184778,83.539797428
7/15/2025 12:14:04 AM,72.437,44.445272,83.3846564,82.979239442
7/15/2025 12:14:09 AM,72.437,44.513422,83.238335126,82.59254724
7/15/2025 12:14:14 AM,72.437,44.57333,83.224042742,82.935554762
7/15/2025 12:14:19 AM,72.437,44.502622,82.7374995392,82.64436331
7/15/2025 12:14:24 AM,72.437,44.618666,82.2893467024,82.88929632
7/15/2025 12:14:29 AM,72.38271,44.626756,83.001611854,82.7641791592
7/15/2025 12:14:34 AM,72.376,44.494652,83.902408615,83.3558403864
7/15/2025 12:14:39 AM,72.376,44.603822,83.0921339072,82.993847326
7/15/2025 12:14:44 AM,72.3411897984,44.68,82.584299885,82.670240696
7/15/2025 12:14:49 AM,72.254456,44.651752,83.2842977406,82.7482162336
7/15/2025 12:14:54 AM,72.254456,44.70823,83.2520289864,83.2982708506
7/15/2025 12:14:59 AM,72.254456,44.684176,83.511186958,82.91686944
7/15/2025 12:15:04 AM,72.254456,44.679828,83.498463842,82.552481528
7/15/2025 12:15:09 AM,72.254456,44.676112,83.24897238,82.847898568
7/15/2025 12:15:14 AM,72.254456,44.674012,83.61555198,82.882208598
7/15/2025 12:15:19 AM,72.2056936592,44.639002,83.900514368,83.6908030492
7/15/2025 12:15:24 AM,72.19922,44.432718,83.302833539,82.980501142
