Timestamp,still01-steam-pid.SP => (Aggregate=TimeAverage2),still01-steam-pid.PV01-TIT4016 => (Aggregate=TimeAverage2),still01-steam-pid.PV03-TIT4009 => (Aggregate=TimeAverage2),still01-steam-pid.DV02-PIT4011 => (Aggregate=TimeAverage2),still01-steam-pid.DV04-FIT4054 => (Aggregate=TimeAverage2),still01-steam-pid.CV-FCV4054 => (Aggregate=TimeAverage2)
7/15/2025 12:38:21 AM,211.2,212.17982,198.97008,0.80766733502,4971.9132832,37
7/15/2025 12:38:23 AM,211.2,212.17982,198.97008,0.7960943,4973.16805855,37
7/15/2025 12:38:25 AM,211.2,212.17982,198.97008,0.7765302325,4981.7849616,37
7/15/2025 12:38:27 AM,211.2,212.17982,198.97008,0.7980886765,4998.9948905,37
7/15/2025 12:38:29 AM,211.2,212.10211464,198.99740206,0.8896933887,5005.9634005,37
7/15/2025 12:38:31 AM,211.2,212.06064,199.01735,0.95173132303,5014.60744525,37
7/15/2025 12:38:33 AM,211.2,212.06064,199.01735,0.918820645,5016.5952785,37
7/15/2025 12:38:35 AM,211.2,212.06064,199.01735,0.97925775,4998.40013355,37
7/15/2025 12:38:37 AM,211.2,212.06064,199.01735,1.09684907525,5001.6689684,37
7/15/2025 12:38:39 AM,211.2,212.06064,199.01735,1.092577113,5016.2065024,37
7/15/2025 12:38:41 AM,211.2,212.06064,199.01735,1.0894172,5022.1013122,37
7/15/2025 12:38:43 AM,211.2,211.93118712,198.978277445,1.123696646,5016.23416295,37
7/15/2025 12:38:45 AM,211.2,211.859,198.94922,1.1249722887,5031.11036435,37
7/15/2025 12:38:47 AM,211.2,211.8601822,198.94922,1.1243613,5041.4713808,37
7/15/2025 12:38:49 AM,211.2,211.86084,199.017002,1.0785941907,5028.2650243,37
7/15/2025 12:38:51 AM,211.2,211.86084,199.06772,1.0715734,5019.0033872,37
7/15/2025 12:38:53 AM,211.2,211.86084,199.06772,1.0715734,5010.3780319,37
7/15/2025 12:38:55 AM,211.2,211.96152246,199.06772,1.0715734,4990.84756425,37
