Timestamp,still01-lwc-pid.CV01-fcv4032-% => (Aggregate=TimeAverage2),still01-lwc-pid.enabled => (Aggregate=StartBound),still01-lwc-pid.SP01-fcv4034.SP-temp => (Aggregate=TimeAverage2),still01-lwc-pid.DV01-pit4012-psi => (Aggregate=TimeAverage2),still01-lwc-pid.DV02-tit52001.temp => (Aggregate=TimeAverage2),still01-lwc-pid.DV03-pit52006-psi => (Aggregate=TimeAverage2),still01-lwc-pid.DV04-fit52101-gpm => (Aggregate=TimeAverage2),still01-lwc-pid.PV01-tit4033-prodtemp => (Aggregate=TimeAverage2),still01-lwc-pid.PV02-tit4031-venttemp => (Aggregate=TimeAverage2),still01-lwc-pid.PV03-tit4021-lwctemp => (Aggregate=TimeAverage2),still01-lwc-pid.PV04-WeightedCalc-tempT_4021 => (Aggregate=TimeAverage2)
7/15/2025 5:06:41 AM,17,True,148,0.167233658415,77.60311,43.029436896,779.554744,82.152770777,141.47629543,172.50362,161.34296
7/15/2025 5:06:43 AM,17,True,148,0.1654521,77.60311,43.00153,771.94009855,82.249065568,141.95331733,172.50362,161.81182985
7/15/2025 5:06:45 AM,17,True,148,0.16724410432,77.60311,43.0088578765,774.4225,82.4160882975,142.66108585,172.570259875,161.81897
7/15/2025 5:06:47 AM,17,True,148,0.20572186,77.60311,43.0259283445,776.97322825,82.445755,143.59775354,172.90147,162.11376868
7/15/2025 5:06:49 AM,17,True,148,0.20572186,77.60311,43.000094777,781.44372044,83.2441654835,144.72602154,172.951611475,162.28683144
7/15/2025 5:06:51 AM,17,True,148,0.20572186,77.60311,43.019997,781.95879626,84.023599964,146.0763534,173.20262,162.28957
7/15/2025 5:06:53 AM,17,True,148,0.20572186,77.60311,43.012990698,774.1033289,85.06752182,147.58040968,173.20262,162.751374475
7/15/2025 5:06:55 AM,17,True,148,0.2076046644,77.60311,42.994631004,768.9698298,86.45726928,149.32200271,173.20262,162.7596
7/15/2025 5:06:57 AM,17,True,148,0.25233412546,77.60311,43.01498389,772.90374131,88.1471775105,151.162864405,173.20262,163.38291759
7/15/2025 5:06:59 AM,17,True,148,0.24162503,77.60110354,43.00024,772.34985592,90.55995927,152.77044144,173.305662875,163.39499
7/15/2025 5:07:01 AM,17,True,148,0.243308479325,77.58898,43.00024,775.7821089,92.9206242375,154.30309415,173.83673,164.091409735
7/15/2025 5:07:03 AM,17,True,148,0.28319168,77.58898,43.00024,779.20425455,95.4199559,155.75073088,173.866006225,164.49972424
7/15/2025 5:07:05 AM,17,True,148,0.28319168,77.58898,43.002207515,774.790749475,98.121528775,156.56511,174.02028,164.9740688
7/15/2025 5:07:07 AM,17,True,148,0.28319168,77.58898,43.00937,778.045926525,100.950144225,157.654344135,174.02028,164.98553
7/15/2025 5:07:09 AM,17,True,148,0.28470923825,77.58898,43.0056516425,775.58745175,104.3370042,159.68119924,174.02028,164.98553
7/15/2025 5:07:11 AM,17,True,148,0.3236599,77.58898,42.992035,778.32113206,107.23113036,160.7977398,174.06675729,164.98553
7/15/2025 5:07:13 AM,17,True,148,0.3236599,77.58898,42.99319381,771.6200597,109.89176775,161.71878825,174.31259,166.52615576
